title,year,director,rating,running_time,genre_1,genre_2
Interstellar ,2014,Christopher Nolan,8.6,2h 49min,Adventure,Drama
Seven Samurai ,1954,Akira Kurosawa,8.6,3h 27min,Action,Adventure
The Lord of the Rings: The Two Towers ,2002,Peter Jackson,8.7,2h 59min,Adventure,Drama
City of God ,2002,Fernando Meirelles,8.6,2h 10min,Crime,Drama
Your Name. ,2016,Makoto Shinkai,8.4,1h 46min,Animation,Drama
One Flew Over the Cuckoo's Nest ,1975,Milos Forman,8.7,2h 13min,Drama,"19 November 1975 (USA)
"
Goodfellas ,1990,Martin Scorsese,8.7,2h 26min,Biography,Crime
The Matrix ,1999,Lana Wachowski,8.7,2h 16min,Action,Sci-Fi
Star Wars: Episode IV - A New Hope ,1977,George Lucas,8.6,2h 1min,Action,Adventure
Star Wars: Episode V - The Empire Strikes Back ,1980,Irvin Kershner,8.7,2h 4min,Action,Adventure
Dangal ,2016,Nitesh Tiwari,8.4,2h 41min,Action,Biography
Fight Club ,1999,David Fincher,8.8,2h 19min,Drama,"15 October 1999 (USA)
"
Inception ,2010,Christopher Nolan,8.8,2h 28min,Action,Adventure
Forrest Gump ,1994,Robert Zemeckis,8.8,2h 22min,Drama,Romance
The Lord of the Rings: The Fellowship of the Ring ,2001,Peter Jackson,8.8,2h 58min,Action,Adventure
"The Good, the Bad and the Ugly ",1966,Sergio Leone,8.8,2h 58min,Western,"29 December 1967 (USA)
"
12 Angry Men ,1957,Sidney Lumet,8.9,1h 36min,Crime,Drama
Schindler's List ,1993,Steven Spielberg,8.9,3h 15min,Biography,Drama
The Lord of the Rings: The Return of the King ,2003,Peter Jackson,8.9,3h 21min,Adventure,Drama
The Dark Knight ,2008,Christopher Nolan,9.0,2h 32min,Action,Crime
The Godfather: Part II ,1974,Francis Ford Coppola,9.0,3h 22min,Crime,Drama
The Godfather ,1972,Francis Ford Coppola,9.2,2h 55min,Crime,Drama
Pulp Fiction ,1994,Quentin Tarantino,8.9,2h 34min,Crime,Drama
