product_name,ram,rom,display,battery,processor,sim_type,discounted_price,actual_price
"Gionee F205 (Black and Gold, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,2670 mAh Lithium-polymer Battery,MediaTek MT6739 Processor,Dual Sim,"₹3,999","8,479"
"Redmi 8A (Sunset Red, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Dual Sim,"₹7,499","8,999"
Flipkart SmartBuy Back Cover for Poco X2,,,,,,,₹179,399
"Realme 5s (Crystal Blue, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 665 Processor,Dual Sim,"₹11,999","12,999"
"Mi 10000 mAh Power Bank (Fast Charging, 18 W)",,,,Lithium Polymer Battery | Micro Connector,,,₹899,"1,199"
"Realme 5s (Crystal Purple, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 665 Processor,Dual Sim,"₹11,999","12,999"
"Mi 20000 mAh Power Bank (Fast Charging, 18 W)",,,,Lithium Polymer Battery | Micro Connector,,,"₹1,499","1,999"
"Realme C2 (Diamond Blue, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,Dual Sim,"₹6,499","7,999"
"Realme 5s (Crystal Purple, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 665 Processor,Dual Sim,"₹10,999","11,999"
"Realme C2 (Diamond Black, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,Dual Sim,"₹6,499","7,999"
"Redmi 8 (Emerald Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Dual Sim,"₹8,999","10,999"
"Realme 5i (Forest Green, 64 GB)",4 GB RAM | 64 GB ROM |,4 GB RAM | 64 GB ROM |,16.56 cm (6.52 inch) HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 665 2 GHz Processor,Dual Sim,"₹9,999","10,999"
"Realme 5i (Forest Green, 128 GB)",4 GB RAM | 128 GB ROM |,4 GB RAM | 128 GB ROM |,16.56 cm (6.52 inch) HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 665 (2 GHz) Processor,Dual Sim,"₹10,999","11,999"
"Realme 5i (Aqua Blue, 128 GB)",4 GB RAM | 128 GB ROM |,4 GB RAM | 128 GB ROM |,16.56 cm (6.52 inch) HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 665 (2 GHz) Processor,Dual Sim,"₹10,999","11,999"
"Redmi 8 (Sapphire Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Dual Sim,"₹8,999","10,999"
"Realme 5i (Aqua Blue, 64 GB)",4 GB RAM | 64 GB ROM |,4 GB RAM | 64 GB ROM |,16.56 cm (6.52 inch) HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 665 2 GHz Processor,Dual Sim,"₹9,999","10,999"
"Redmi 8 (Ruby Red, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Dual Sim,"₹8,999","10,999"
